"filename", "language", "Markdown", "HTML", "YAML", "C++", "Dart", "JSON", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\yacal\Documents\finance_connect_app\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\yacal\Documents\finance_connect_app\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\yacal\Documents\finance_connect_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 7, 48
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 1, 46
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\yacal\Documents\finance_connect_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\yacal\Documents\finance_connect_app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\yacal\Documents\finance_connect_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\yacal\Documents\finance_connect_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\yacal\Documents\finance_connect_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\yacal\Documents\finance_connect_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\yacal\Documents\finance_connect_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
