Date : 2025-01-30 01:03:45
Directory : c:\Users\yacal\Documents\finance_connect_app
Total : 80 files,  2058 codes, 312 comments, 430 blanks, all 2800 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         34 |        597 |         18 |        156 |        771 |
| C++        |         16 |        547 |        131 |        189 |        867 |
| XML        |         10 |        470 |         53 |         12 |        535 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         72 |          6 |         15 |         93 |
| Swift      |          6 |         57 |          7 |         21 |         85 |
| YAML       |          2 |         27 |         82 |         17 |        126 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         80 |      2,058 |        312 |        430 |      2,800 |
| . (Files)                                                                                                  |          3 |         37 |         82 |         24 |        143 |
| android                                                                                                    |         12 |        146 |         57 |         26 |        229 |
| android (Files)                                                                                            |          3 |         40 |          0 |          9 |         49 |
| android\app                                                                                                |          8 |        101 |         57 |         16 |        174 |
| android\app (Files)                                                                                        |          1 |         35 |          6 |          7 |         48 |
| android\app\src                                                                                            |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                                      |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                       |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                                               |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                                   |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                    |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                             |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                     |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                        |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                 |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                         |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                            |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                 |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                              |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                            |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                      |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                        |         33 |        583 |          8 |        149 |        740 |
| lib (Files)                                                                                                |          2 |         88 |          5 |         13 |        106 |
| lib\core                                                                                                   |          6 |         63 |          0 |         20 |         83 |
| lib\core\constants                                                                                         |          1 |          0 |          0 |          1 |          1 |
| lib\core\errors                                                                                            |          2 |         21 |          0 |         10 |         31 |
| lib\core\network                                                                                           |          1 |          0 |          0 |          1 |          1 |
| lib\core\theme                                                                                             |          1 |         29 |          0 |          3 |         32 |
| lib\core\utils                                                                                             |          1 |         13 |          0 |          5 |         18 |
| lib\data                                                                                                   |          8 |        157 |          3 |         38 |        198 |
| lib\data\datasources                                                                                       |          3 |         67 |          0 |         18 |         85 |
| lib\data\models                                                                                            |          2 |         29 |          0 |          7 |         36 |
| lib\data\repositories                                                                                      |          2 |         53 |          3 |          9 |         65 |
| lib\data\services                                                                                          |          1 |          8 |          0 |          4 |         12 |
| lib\domain                                                                                                 |          6 |         59 |          0 |         19 |         78 |
| lib\domain\entities                                                                                        |          2 |         24 |          0 |          7 |         31 |
| lib\domain\repositories                                                                                    |          2 |         12 |          0 |          4 |         16 |
| lib\domain\usecases                                                                                        |          2 |         23 |          0 |          8 |         31 |
| lib\domain\usecases (Files)                                                                                |          1 |         11 |          0 |          4 |         15 |
| lib\domain\usecases\auth                                                                                   |          1 |         12 |          0 |          4 |         16 |
| lib\presentation                                                                                           |         11 |        216 |          0 |         59 |        275 |
| lib\presentation (Files)                                                                                   |          1 |          0 |          0 |          1 |          1 |
| lib\presentation\bloc                                                                                      |          6 |        102 |          0 |         43 |        145 |
| lib\presentation\bloc\auth                                                                                 |          3 |         56 |          0 |         24 |         80 |
| lib\presentation\bloc\user                                                                                 |          3 |         46 |          0 |         19 |         65 |
| lib\presentation\pages                                                                                     |          2 |         43 |          0 |          6 |         49 |
| lib\presentation\widgets                                                                                   |          2 |         71 |          0 |          9 |         80 |
| linux                                                                                                      |          5 |        107 |         37 |         45 |        189 |
| linux\flutter                                                                                              |          2 |         12 |          9 |         11 |         32 |
| linux\runner                                                                                               |          3 |         95 |         28 |         34 |        157 |
| macos                                                                                                      |          6 |        449 |          5 |         17 |        471 |
| macos\Flutter                                                                                              |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                               |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                       |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                          |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                               |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                            |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                    |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                       |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                        |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                    |         10 |        439 |         94 |        143 |        676 |
| windows\flutter                                                                                            |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                             |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\yacal\Documents\finance_connect_app\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\yacal\Documents\finance_connect_app\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\build.gradle                                      | Gradle     |         35 |          6 |          7 |         48 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\AndroidManifest.xml                      | XML        |         34 |         11 |          1 |         46 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\yacal\Documents\finance_connect_app\android\build.gradle                                          | Gradle     |         16 |          0 |          3 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\yacal\Documents\finance_connect_app\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\yacal\Documents\finance_connect_app\android\settings.gradle                                       | Gradle     |         21 |          0 |          5 |         26 |
| c:\Users\yacal\Documents\finance_connect_app\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\yacal\Documents\finance_connect_app\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\constants\app_constantest.dart                       | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\errors\exceptions.dart                               | Dart       |          8 |          0 |          4 |         12 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\errors\failures.dart                                 | Dart       |         13 |          0 |          6 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\network\network_info.dart                            | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\theme\app_theme.dart                                 | Dart       |         29 |          0 |          3 |         32 |
| c:\Users\yacal\Documents\finance_connect_app\lib\core\utils\secure_storage.dart                            | Dart       |         13 |          0 |          5 |         18 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\datasources\auth_local_data_source.dart              | Dart       |         14 |          0 |          6 |         20 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\datasources\local_data_source.dart                   | Dart       |         31 |          0 |          7 |         38 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\datasources\remote_data_source.dart                  | Dart       |         22 |          0 |          5 |         27 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\models\auth_response_model.dart                      | Dart       |          7 |          0 |          3 |         10 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\models\user_model.dart                               | Dart       |         22 |          0 |          4 |         26 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\repositories\auth_repository_impl.dart               | Dart       |         20 |          1 |          4 |         25 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\repositories\user_repository_impl.dart               | Dart       |         33 |          2 |          5 |         40 |
| c:\Users\yacal\Documents\finance_connect_app\lib\data\services\api_service.dart                            | Dart       |          8 |          0 |          4 |         12 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\entities\auth_entity.dart                          | Dart       |          4 |          0 |          2 |          6 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\entities\user_entity.dart                          | Dart       |         20 |          0 |          5 |         25 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\repositories\auth_repository.dart                  | Dart       |          6 |          0 |          2 |          8 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\repositories\user_repository.dart                  | Dart       |          6 |          0 |          2 |          8 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\usecases\auth\login_user.dart                      | Dart       |         12 |          0 |          4 |         16 |
| c:\Users\yacal\Documents\finance_connect_app\lib\domain\usecases\get_user_data.dart                        | Dart       |         11 |          0 |          4 |         15 |
| c:\Users\yacal\Documents\finance_connect_app\lib\injection_container.dart                                  | Dart       |         44 |          5 |          8 |         57 |
| c:\Users\yacal\Documents\finance_connect_app\lib\main.dart                                                 | Dart       |         44 |          0 |          5 |         49 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\app.dart                                     | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\auth\auth_bloc.dart                     | Dart       |         21 |          0 |          5 |         26 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\auth\auth_event.dart                    | Dart       |         14 |          0 |          7 |         21 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\auth\auth_state.dart                    | Dart       |         21 |          0 |         12 |         33 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\user\user_bloc.dart                     | Dart       |         19 |          0 |          4 |         23 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\user\user_event.dart                    | Dart       |          7 |          0 |          4 |         11 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\bloc\user\user_state.dart                    | Dart       |         20 |          0 |         11 |         31 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\pages\home_page.dart                         | Dart       |         26 |          0 |          3 |         29 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\pages\login_page.dart                        | Dart       |         17 |          0 |          3 |         20 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\widgets\login_form.dart                      | Dart       |         56 |          0 |          5 |         61 |
| c:\Users\yacal\Documents\finance_connect_app\lib\presentation\widgets\user_card.dart                       | Dart       |         15 |          0 |          4 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| c:\Users\yacal\Documents\finance_connect_app\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\yacal\Documents\finance_connect_app\linux\runner\main.cc                                          | C++        |          5 |          0 |          2 |          7 |
| c:\Users\yacal\Documents\finance_connect_app\linux\runner\my_application.cc                                | C++        |         83 |         21 |         27 |        131 |
| c:\Users\yacal\Documents\finance_connect_app\linux\runner\my_application.h                                 | C++        |          7 |          7 |          5 |         19 |
| c:\Users\yacal\Documents\finance_connect_app\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          8 |          3 |          4 |         15 |
| c:\Users\yacal\Documents\finance_connect_app\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\yacal\Documents\finance_connect_app\macos\Runner\AppDelegate.swift                                | Swift      |         11 |          0 |          3 |         14 |
| c:\Users\yacal\Documents\finance_connect_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\yacal\Documents\finance_connect_app\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\yacal\Documents\finance_connect_app\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\yacal\Documents\finance_connect_app\pubspec.yaml                                                  | YAML       |         24 |         60 |         13 |         97 |
| c:\Users\yacal\Documents\finance_connect_app\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\yacal\Documents\finance_connect_app\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| c:\Users\yacal\Documents\finance_connect_app\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\yacal\Documents\finance_connect_app\windows\flutter\generated_plugin_registrant.cc                | C++        |          6 |          4 |          5 |         15 |
| c:\Users\yacal\Documents\finance_connect_app\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\yacal\Documents\finance_connect_app\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                      |            |      2,058 |        312 |        430 |      2,800 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
